query_id,name,description,tags,query_engine,query_sql,is_private,is_archived,owner,g1,g2,g3,g4,g5
1,"Example: Compound weekly borrowers","","[""DAO""]",v1 Ethereum [deprecated],"SELECT date_trunc('week', block_time) AS ""week"", COUNT(distinct borrower) AS ""Unique borrowers"" FROM compound.""view_borrow"" WHERE block_time > now() - interval '10 weeks' GROUP BY 1 ORDER BY 1;",false,false,hagaetc,defi,lending,weekly_unique_borrowers_timeseries,week|unique_borrowers,time_series
2,"Example: Dai daily transfer volume","","[""defi"",""MakerDAO"",""lending""]",v1 Ethereum [deprecated],"SELECT date_trunc('day', evt_block_time) as day, SUM(value/1e18) FROM erc20.""ERC20_evt_Transfer"" WHERE evt_block_time > now() - interval '7 days' AND contract_address = '\\x6b175474e89094c44da98b954eedeac495271d0f' GROUP BY 1;",false,false,hagaetc,transfers,flow,daily_transfer_volume_timeseries,day|transfer_volume,time_series
8,"Bloom - Unique addresses attested","","[""Bloom"",""Identity""]",v1 Ethereum [deprecated],"SELECT date_trunc('week', tx.block_time) AS week, count(DISTINCT subject) FROM bloom.""AttestationLogic_evt_TraitAttested"" a, ethereum.transactions tx WHERE tx.hash = a.tx_hash GROUP BY week",false,false,hagaetc,identity,labels,weekly_unique_attestation_timeseries,week|unique_attestations,time_series
9,"Compound v1 USD borrow volume per token","","[""defi"",""compound"",""lending"",""volume"",""Get started""]",v1 Ethereum [deprecated],"SELECT date_trunc('month', tx.block_time) AS monthStarting, p.symbol AS token, SUM((b.amount / 1e18) * p.average) AS usdAmount FROM compoundv1.""MoneyMarket_evt_BorrowTaken"" b, ethereum.transactions tx, coincap.""tokens/usd"" p WHERE b.tx_hash = tx.hash AND b.""asset"" = p.asset AND date_trunc('minute', p.time) = date_trunc('minute', tx.block_time) AND tx.success = TRUE GROUP BY monthStarting, token ORDER BY monthStarting;",false,false,hagaetc,defi,lending,monthly_borrow_volume_by_token_timeseries,month|token|usd_volume,time_series
10,"Unique weekly borrowers and lenders on Compound","","[]",v1 Ethereum [deprecated],"WITH borrowers as (SELECT date_trunc('week', tx.block_time) AS week, count(DISTINCT b.account) as uniqueBorrowers FROM compoundv1.""MoneyMarket_evt_BorrowTaken"" b LEFT JOIN ethereum.transactions tx ON tx.hash = b.tx_hash GROUP BY week), suppliers as (SELECT date_trunc('week', tx.block_time) AS week, count(DISTINCT s.account) as uniqueSuppliers FROM compoundv1.""MoneyMarket_evt_SupplyReceived"" s LEFT JOIN ethereum.transactions tx ON tx.hash = s.tx_hash GROUP BY week) SELECT borrowers.week, SUM(borrowers.uniqueBorrowers) as uniqueBorrowers, SUM(suppliers.uniqueSuppliers) as uniqueSuppliers FROM borrowers, suppliers WHERE borrowers.week = suppliers.week GROUP BY borrowers.week",false,false,hagaetc,defi,lending,weekly_unique_borrowers_and_lenders_timeseries,week|unique_borrowers|unique_suppliers,time_series
11,"DutchX discount - DAI auctioned for WETH","","[""Gnosis"",""DEX"",""defi""]",v1 Ethereum [deprecated],"SELECT date_trunc('day', block_time) as date, avg(""sellVolume"" / ""buyVolume"") as ""DutchX price"", avg(eth.average / dai.average) as ""Market price"", (avg(""sellVolume"" / ""buyVolume"") / avg(eth.average / dai.average) - 1)*100 as ""discount"" FROM gnosis.""DutchExchange_evt_AuctionCleared"" c, ethereum.transactions tx, coincap.""tokens/usd"" eth, coincap.""tokens/usd"" dai WHERE ""sellToken"" = '\\x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359' AND ""buyToken"" = '\\xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2' AND c.tx_hash = tx.hash AND tx.success = true GROUP BY 1;",false,false,hagaetc,defi,dex,daily_auction_discount_timeseries,date|auction_price|market_price|discount_pct,time_series
100,"top holders","","[""holders""]",v2 Dune SQL,"WITH latest_balances AS (...) inflow AS (...) outflow AS (...) SELECT address, amount, percent, netflow_24h, netflow_7d ORDER BY amount DESC",false,false,synthetic,holders,balances,top_holders_with_netflow_breakdown,address|amount|percent|netflow,leaderboard
101,"active borrowers snapshot","","[""defi"",""lending""]",v2 Dune SQL,"WITH base_borrowing AS (...) SELECT address, collateral, existing_debt, borrowing_apr, LTV WHERE existing_debt > 0",false,false,synthetic,defi,lending,active_lending_positions_with_collateral_ratio,address|collateral|debt|apr|ltv,snapshot
102,"address labels for 0x68*","","[]",v2 Dune SQL,"SELECT * FROM labels.addresses WHERE varbinary_substring(address, 1, 1) = 0x68",false,false,synthetic,identity,labels,address_labels_by_prefix_filter,address|label|category,lookup
103,"staking strategy list","","[""defi"",""staking""]",v2 Dune SQL,"WITH deposit AS (...) SELECT contract_address, symbol, decimals, strategy",false,false,synthetic,defi,staking,staking_strategy_list_with_token_metadata,contract|symbol|decimals|strategy,registry
104,"daily active users","","[""activity""]",v2 Dune SQL,"SELECT date_trunc('day', block_time) AS day, COUNT(DISTINCT tx_from) AS dau FROM transactions GROUP BY 1 ORDER BY 1",false,false,synthetic,activity,users,daily_active_users_timeseries,date|user_count,time_series
105,"top pools by volume","","[""defi"",""dex""]",v2 Dune SQL,"WITH pool_volume AS (...) SELECT pool_address, token0, token1, volume_24h, volume_7d ORDER BY volume_24h DESC",false,false,synthetic,defi,dex,top_pools_by_volume_leaderboard,pool|tokens|volume,leaderboard
106,"whale transfers last 7d","","[""transfers""]",v2 Dune SQL,"SELECT block_time, tx_from, tx_to, amount WHERE amount > 1000000 ORDER BY block_time DESC",false,false,synthetic,transfers,whale,large_transfers_recent_series,time|sender|receiver|amount,series
107,"holder distribution","","[""holders""]",v2 Dune SQL,"WITH balances AS (...) SELECT bucket, count(*) as holders FROM (CASE WHEN amount > X THEN 'whale' ...) GROUP BY bucket",false,false,synthetic,holders,distribution,holder_balance_distribution_snapshot,bucket|holder_count,snapshot
108,"protocol tvl over time","","[""defi"",""tvl""]",v2 Dune SQL,"WITH daily_deposits AS (...) daily_withdrawals AS (...) SELECT day, cumulative_tvl ORDER BY day",false,false,synthetic,defi,tvl,cumulative_tvl_timeseries,date|tvl_amount,time_series
109,"gas fees by contract","","[""infrastructure""]",v2 Dune SQL,"SELECT to AS contract, SUM(gas_used * gas_price) AS total_fees, COUNT(*) AS tx_count GROUP BY 1 ORDER BY total_fees DESC",false,false,synthetic,infrastructure,gas,contract_gas_consumption_leaderboard,contract|total_fees|tx_count,leaderboard
110,"nft collection floor over time","","[""nft""]",v2 Dune SQL,"WITH daily_floors AS (...) SELECT day, min_price, avg_price, sales_count ORDER BY day",false,false,synthetic,nft,marketplace,collection_floor_price_timeseries,date|min_price|avg_price|sales,time_series
111,"bridge volume by chain","","[""bridge""]",v2 Dune SQL,"WITH bridge_txs AS (...) SELECT source_chain, dest_chain, SUM(amount) AS volume GROUP BY 1,2",false,false,synthetic,bridge,crosschain,bridge_volume_by_chain_pair_snapshot,source|destination|volume,snapshot
112,"validator performance","","[""infrastructure""]",v2 Dune SQL,"SELECT validator, blocks_proposed, blocks_missed, uptime_pct, total_rewards ORDER BY total_rewards DESC",false,false,synthetic,infrastructure,validators,validator_performance_leaderboard,validator|proposed|missed|uptime|rewards,leaderboard
113,"dex trades last 24h","","[""defi"",""dex""]",v2 Dune SQL,"SELECT block_time, maker, taker, amount_in, amount_out, pair FROM trades WHERE block_time > now() - interval '24 hours'",false,false,synthetic,defi,dex,recent_dex_trades_series,time|maker|taker|amounts|pair,series
114,"weekly new wallets","","[""activity""]",v2 Dune SQL,"SELECT date_trunc('week', min_block_time) AS week, COUNT(*) AS new_wallets FROM (SELECT tx_from, MIN(block_time) AS min_block_time FROM transactions GROUP BY 1) GROUP BY 1",false,false,synthetic,activity,users,weekly_new_wallet_timeseries,week|new_wallet_count,time_series
115,"liquidation events","","[""defi"",""lending""]",v2 Dune SQL,"WITH liquidation_events AS (...) SELECT block_time, liquidator, borrower, collateral_asset, debt_asset, seized_amount ORDER BY block_time DESC",false,false,synthetic,defi,lending,liquidation_events_series,time|liquidator|borrower|collateral|debt|amount,series
116,"top nft traders by profit","","[""nft""]",v2 Dune SQL,"WITH buys AS (...) sells AS (...) SELECT address, total_bought, total_sold, profit, trade_count ORDER BY profit DESC",false,false,synthetic,nft,trading,top_traders_by_profit_leaderboard,address|bought|sold|profit|trades,leaderboard
117,"stablecoin daily supply","","[""stablecoins""]",v2 Dune SQL,"WITH daily_mints AS (...) daily_burns AS (...) SELECT day, total_supply, net_change ORDER BY day",false,false,synthetic,stablecoins,supply,daily_supply_change_timeseries,date|supply|net_change,time_series
